Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,year
497,JT Thor,22,CLE,PF,9,0,4.7,1.0,1.7,.600,0.3,0.7,.500,0.7,1.0,.667,.700,0.8,0.9,.875,0.3,0.3,0.7,0.1,0.2,0.3,0.7,0.7,3.1,,2025
498,Jarred Vanderbilt,25,LAL,PF,9,0,16.6,1.3,3.1,.429,0.2,0.9,.250,1.1,2.2,.500,.464,0.2,0.7,.333,2.1,4.0,6.1,1.2,1.2,0.1,0.9,1.7,3.1,,2025
499,Dominick Barlow,21,ATL,SF,16,2,8.2,1.3,2.8,.455,0.3,0.8,.333,1.0,2.0,.500,.500,0.3,0.5,.500,0.4,1.3,1.6,0.3,0.2,0.4,0.1,0.8,3.0,,2025
500,Adem Bona,21,PHI,C,37,1,11.1,1.1,1.6,.695,0.0,0.0,,1.1,1.6,.695,.695,0.8,1.2,.636,1.0,1.8,2.8,0.3,0.2,0.8,0.7,1.9,3.0,,2025
501,Maxi Kleber,33,DAL,PF,34,4,18.7,1.1,2.8,.385,0.4,1.4,.265,0.7,1.4,.511,.453,0.5,0.6,.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3.0,,2025
502,Taze Moore,26,POR,SG,2,0,10.0,1.0,5.0,.200,0.5,2.0,.250,0.5,3.0,.167,.250,0.5,1.0,.500,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,,2025
503,Pat Spencer,28,GSW,PG,23,0,7.5,1.2,3.0,.412,0.1,0.5,.167,1.1,2.4,.464,.426,0.5,0.7,.733,0.4,1.0,1.4,1.5,0.4,0.1,0.6,0.7,3.0,,2025
504,Blake Wesley,21,SAS,SG,32,0,9.0,1.2,2.6,.458,0.1,0.7,.182,1.1,1.9,.557,.482,0.5,0.7,.739,0.2,0.5,0.7,1.9,0.4,0.1,0.9,0.5,3.0,,2025
505,Jae Crowder,34,SAC,PF,7,2,13.1,0.9,2.4,.353,0.4,1.7,.250,0.4,0.7,.600,.441,0.7,0.9,.833,0.9,1.6,2.4,0.6,0.4,0.0,0.6,1.4,2.9,,2025
506,Taj Gibson,39,CHO,C,24,11,11.9,1.2,2.6,.460,0.0,0.1,.500,1.2,2.5,.459,.468,0.5,0.7,.688,1.6,2.3,3.9,0.6,0.3,0.5,0.8,1.6,2.9,,2025
507,Caleb Houstan,22,ORL,SF,37,5,11.8,0.9,2.8,.324,0.8,2.5,.319,0.1,0.4,.357,.462,0.3,0.3,.909,0.4,0.6,1.0,0.4,0.2,0.1,0.1,1.0,2.9,,2025
508,Tyler Smith,20,MIL,PF,15,0,5.0,1.1,2.3,.500,0.5,1.3,.400,0.6,0.9,.643,.618,0.1,0.3,.500,0.3,1.0,1.3,0.3,0.1,0.2,0.4,0.5,2.9,,2025
